n,schema_present_correct_v1,schema_present_correct_v2,schema_present_correct_delta,primary_schema_correct_v1,primary_schema_correct_v2,primary_schema_correct_delta,lm_correct_v1,lm_correct_v2,lm_correct_delta,control_correct_v1,control_correct_v2,control_correct_delta,control_false_positive_schema_v1,control_false_positive_schema_v2,control_false_positive_schema_delta,prompt_base,provider,sentence_type
600,0.9716666666666667,0.9883333333333333,0.016666666666666607,0.8433333333333334,0.9083333333333333,0.06499999999999995,0.97,0.9883333333333333,0.018333333333333313,0.3016666666666667,0.3233333333333333,0.021666666666666612,0.028333333333333332,0.006666666666666667,-0.021666666666666664,direct_schema,openai,
600,0.9816666666666667,0.99,0.008333333333333304,0.875,0.9133333333333333,0.03833333333333333,0.9766666666666667,0.985,0.008333333333333304,0.32166666666666666,0.32166666666666666,0.0,0.008333333333333333,0.008333333333333333,0.0,structured_roles,openai,
1188,0.5732323232323232,0.7836700336700336,0.21043771043771042,0.5732323232323232,0.7836700336700336,0.21043771043771042,0.5732323232323232,0.7836700336700336,0.21043771043771042,0.5732323232323232,0.7836700336700336,0.21043771043771042,0.42676767676767674,0.21632996632996632,-0.21043771043771042,,,control_weak_schema
1206,0.9950248756218906,1.0,0.00497512437810943,0.8043117744610282,0.8416252072968491,0.03731343283582089,0.9917081260364843,0.9950248756218906,0.0033167495854062867,0.0,0.0,0.0,0.0,0.0,0.0,,,literal_spatial
1206,1.0,0.9966832504145937,-0.0033167495854062867,0.9038142620232172,0.9270315091210614,0.023217247097844118,1.0,0.9966832504145937,-0.0033167495854062867,0.0,0.0,0.0,0.0,0.0,0.0,,,metaphorical_spatial
594,0.41919191919191917,0.7845117845117845,0.3653198653198653,0.41919191919191917,0.7845117845117845,0.3653198653198653,0.41919191919191917,0.7845117845117845,0.3653198653198653,0.41919191919191917,0.7845117845117845,0.3653198653198653,0.5808080808080808,0.21548821548821548,-0.36531986531986527,direct_schema,,control_weak_schema
603,1.0,1.0,0.0,0.8291873963515755,0.8640132669983416,0.03482587064676612,0.9983416252072969,1.0,0.0016583747927031434,0.0,0.0,0.0,0.0,0.0,0.0,direct_schema,,literal_spatial
603,1.0,0.9950248756218906,-0.00497512437810943,0.9054726368159204,0.9286898839137645,0.023217247097844118,1.0,0.9950248756218906,-0.00497512437810943,0.0,0.0,0.0,0.0,0.0,0.0,direct_schema,,metaphorical_spatial
594,0.7272727272727273,0.7828282828282829,0.05555555555555558,0.7272727272727273,0.7828282828282829,0.05555555555555558,0.7272727272727273,0.7828282828282829,0.05555555555555558,0.7272727272727273,0.7828282828282829,0.05555555555555558,0.2727272727272727,0.21717171717171718,-0.055555555555555525,structured_roles,,control_weak_schema
603,0.9900497512437811,1.0,0.00995024875621886,0.7794361525704809,0.8192371475953566,0.03980099502487566,0.9850746268656716,0.9900497512437811,0.004975124378109541,0.0,0.0,0.0,0.0,0.0,0.0,structured_roles,,literal_spatial
603,1.0,0.9983416252072969,-0.0016583747927031434,0.9021558872305141,0.9253731343283582,0.023217247097844118,1.0,0.9983416252072969,-0.0016583747927031434,0.0,0.0,0.0,0.0,0.0,0.0,structured_roles,,metaphorical_spatial
